Diploma,Opleiding,Jaar,Semester,Cursuscode,Studiepunten,Lesgevers,Trefwoorden,Evaluatiemomenten,Evaluatievormen PGE1,Evaluatievormen PGE2,Evaluatievormen NPGE
MABA,CMINFO,2,1,C004073,6,Peter Lambert|Glenn Van Wallendael,computergrafiek|computer graphics|3d|virtual reality|rendering|gpu,periodegebonden|niet-periodegebonden,mondeling examen,mondeling examen,werkstuk|vaardigheidstest
MABA,CMINFO,2,2,C004074,6,Yvan Saeys|Daniel Peralta Cámara,horizontal scalability|distributed file systems|mapreduce|nosql databases|large-scale machine learning,periodegebonden|niet-periodegebonden,mondeling examen|werkstuk,mondeling examen|werkstuk,vaardigheidstest|verslag
MABA,CMINFO,2,2,C004075,6,Peter Dawyndt,ervaringsleren|beroepspraktijk,niet-periodegebonden,mondeling examen|gedragsevaluatie op de werkvloer|verslag,mondeling examen|gedragsevaluatie op de werkvloer|verslag,mondeling examen|gedragsevaluatie op de werkvloer|verslag
MABA,CMINFO,2,J,C002309,30,N. N.,onderzoeksmethoden en -technieken|rapportering,periodegebonden,werkstuk,werkstuk,
MABA,CMMASM,1,1,C002537,5,Ludwig Triest|Iris Stiers,,,,,
MABA,CMMASM,1,1,C003807,4,Ann Vanreusel|Steven Eisenreich,physical characteristics of oceans|marine biogeochemical cycles|primary production|heterotrophic processes|plankton and benthos|benthic pelagic coupling,periodegebonden,schriftelijk examen met open vragen,schriftelijk examen met open vragen,
MABA,CMMASM,1,1,C003808,5,Stijn Temmerman|Tom Ysebaert,,,,,
MABA,CMMASM,1,2,C002469,3,Hendrik Schoukens|An Cliquet,"marine and aquatic conservation, international and european biodiversity law|environmental ethics",periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen|mondeling examen,schriftelijk examen met open vragen|mondeling examen,mondeling examen
MABA,CMMASM,1,2,C002470,5,Vera Van Lancker|Sindy Sterckx,,,,,
MABA,CMMASM,1,2,C002772,5,Dirk Verschuren|Wim Vyverman,fysische limnologie|chemische limnologie|continentale waters|meren en rivieren|primaire productie|hydrologie|aquatische ecologie|nutriëntenbalans|stoichiometrie,periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen,schriftelijk examen met open vragen,mondeling examen|werkstuk
