Diploma,Opleiding,Jaar,Semester,Cursuscode,Studiepunten,Lesgevers,Trefwoorden,Evaluatiemomenten,Evaluatievormen PGE1,Evaluatievormen PGE2,Evaluatievormen NPGE
BACH,EB6INWMP,2,2,E620063,6,Isabel Sweertvaegher|Steve Dereyne|Steven Hoedt|Johannes Cottyn,automatisering|sensor|actor|plc|cae|hmi,periodegebonden|niet-periodegebonden,schriftelijk examen|mondeling examen,schriftelijk examen|mondeling examen,vaardigheidstest
BACH,EB6INWMP,2,2,E620064,6,Jos Knockaert|Steve Dereyne,inductiemachine|synchrone machine|dc-machine,periodegebonden|niet-periodegebonden,mondeling examen,mondeling examen,participatie
BACH,EB6INWMP,2,2,E620065,3,Jan Desmet|Steve Dereyne,elektrische installaties|laagspanningsnetten,periodegebonden,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,
BACH,EB6INWMP,3,1,E630023,6,Kurt Stockman|Simon De Boever,pid|systeemmodellen|gesloten lus regeling|poolbaanmethode|bodekarakteristiek|implementatie van regelaars,periodegebonden|niet-periodegebonden,mondeling examen,mondeling examen,verslag
BACH,EB6INWMP,3,1,E630100,6,Bart Vanwalleghem|Simon De Boever|Wim Serruys,schroef- en lasverbindingen|lineaire aandrijfsystemen|industriële hydraulica|hydrostatische tractie,periodegebonden,schriftelijk examen|mondeling examen,schriftelijk examen|mondeling examen,
BACH,EB6INWMP,3,1,E630200,6,Dieter Vandenhoeke|Steven Hoedt|Isabel Sweertvaegher,•  plc •  profibus •  ethernet tcp/ip •  opc •  modbus •  rt ethernet •  profinet •  ethercat •  safety in automation •  tia portal,periodegebonden,schriftelijk examen,schriftelijk examen,
BACH,EB6INWMP,3,1,E630300,6,Kurt Stockman|Steve Dereyne|Bart Vanwalleghem,snelheidsregeling van elektrische motoren| inductiemachine|permanent magneet machine|veldoriëntering|emc,periodegebonden|niet-periodegebonden,mondeling examen,mondeling examen,mondeling examen
BACH,EB6INWMP,3,1,E630400,6,Steve Dereyne|Jan Desmet,elektrische installaties|bordenbouw|cae|eplan|elektrisch aansluitdossier,periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,werkstuk|vaardigheidstest
BACH,EB6INWMP,3,2,E620702,3,Ludo Poelaert,bedrijseconomie dubbel boekhouden management accounting investeringsanalyse analyse van de jaarrekening,periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,werkstuk|verslag
BACH,EB6INWMP,3,2,E630500,5,Kurt Stockman|Steve Dereyne|Bart Vanwalleghem,dimensioneren|ontwerpmethodiek|lastkarakteristieken|energie efficiëntie,periodegebonden,openboekexamen,openboekexamen,
BACH,EB6INWMP,3,2,E630600,4,Michael Monte|Simon De Boever|Bart Vanwalleghem,positie- |snelheid- |versnellingsanalyse|3d kinematica en dynamica|motion simulaties,periodegebonden,schriftelijk examen met open vragen|simulatie,schriftelijk examen met open vragen|simulatie,
BACH,EB6INWMP,3,2,E630700,6,Dieter Vandenhoeke|Isabel Sweertvaegher,•  c# •  database •  sql •  tcp sockets •  opc •  modbus tcp •  plc handshaking •  tia portal •  twincat •  logging,periodegebonden,schriftelijk examen|mondeling examen|vaardigheidstest,schriftelijk examen|mondeling examen|vaardigheidstest,
BACH,EB6INWMP,3,2,E630710,6,Johannes Cottyn|Steve Dereyne|Jan Desmet|Steven Hoedt|Kurt Stockman|Isabel Sweertvaegher|Dieter Vandenhoeke|Bruno Vanslambrouck|Bart Vanwalleghem|Bram Vervisch,projectwerk|werken in teamverband|presentatietechnieken|vergadertechnieken,periodegebonden|niet-periodegebonden,mondeling examen|verslag,mondeling examen|verslag,gedragsevaluatie op de werkvloer
BACH,EB6INWMP,3,2,E630800,3,Ingrid Moerman|Jeroen Hoebeke,draadloze transmissie|medium access control|draadloze local area netwerken (wlan)|draadloze sensornetwerken (wsn)|low-power wide area netwerken (lpwan)|internet of things|draadloze personal area netwerken (wpan),periodegebonden|niet-periodegebonden,schriftelijk examen|openboekexamen,schriftelijk examen|openboekexamen,participatie|werkstuk|verslag
BACH,EB6INWMP,3,2,E630900,3,Bart Vanwalleghem|Wesley Cottegnie,controllers – interfacing – sensor/actuator – encoder/decoder – c/c++ – model based design,niet-periodegebonden,,,participatie|werkstuk
BACH,EB6ION,1,1,E610004,6,Eric Laermans|Oriana De Vos,complexe getallen|limieten|continuïteit|functies van één veranderlijke|vlakke meetkunde|vectoren|afgeleiden van r-r functies|parameterkrommen|poolkrommen|integralen,periodegebonden|niet-periodegebonden,schriftelijk examen,schriftelijk examen,schriftelijk examen
BACH,EB6ION,1,1,E610014,6,Kurt Stockman|Ria Callens|Wesley Cottegnie|Isabel Sweertvaegher,elektrotechniek|elektrostatica|magnetisme|wisselstroomsystemen|elektrische netwerken.,periodegebonden|niet-periodegebonden,mondeling examen,mondeling examen,participatie|verslag
BACH,EB6ION,1,1,E610019,3,Geert De Clercq,materiaalkunde|structuur van materialen|materiaaleigenschappen|materiaaltechnologie|materiaalselectie,periodegebonden,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,
BACH,EB6ION,1,1,E610020,6,Jan Detand|Yannick Christiaens|Ria Vandekerckhove,"2d & 3d visualisatie|basisvaardigheden prototyping & schetsen|ontwerpproces|documenteren, programma van eisen|morfologische kaart|functieanalyse|selectiemethoden.",periodegebonden|niet-periodegebonden,schriftelijk examen,schriftelijk examen,portfolio|participatie|werkstuk
BACH,EB6ION,1,1,E610051,4,Olivier Rysman|Davy Parmentier,tekenconventies|woning|constructie|fundering|draagvloer|spouwmuur|hellend dak|planopbouw|grondplan|autocad|siemens nx|projectiesystemen|parametrische 3d cad|assembly modelling|technische tekening.,niet-periodegebonden,,,vaardigheidstest
BACH,EB6ION,1,2,E610005,6,Pieter Audenaert|Oriana De Vos,ruimtemeetkunde|functies van meerdere veranderlijken|dubbelintegralen|differentiaalvergelijkingen|lineaire algebra,periodegebonden|niet-periodegebonden,schriftelijk examen,schriftelijk examen,schriftelijk examen
BACH,EB6ION,1,2,E610016,6,Michael Monte|Ria Callens,fluïdostatica|warmteleer|trillingen en golven|geometrische en fysische optica,periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen,schriftelijk examen met open vragen,participatie|werkstuk
BACH,EB6ION,1,2,E610017,6,Jelle Saldien|Yannick Christiaens|Ellen De Vos|Ria Vandekerckhove,2d & 3d visualisatie|prototyping|documenteren|gebruikersgericht ontwerpen|benchmarking|productevaluatie d.m.v. testen|persona|storyboard,periodegebonden|niet-periodegebonden,schriftelijk examen,schriftelijk examen,portfolio|participatie|werkstuk
